iteration,best_fitness,curr_fitness,temperature,f1_coverage,f2_cost,n_selected,feasible,n_reheats
0,-0.40643844361874415,-0.40643844361874415,4.975,0.9632286995513535,0.2981492546459001,43,True,0
166,-0.41234361371974915,-0.3562945297034782,2.164833445266288,0.9751121076230996,0.30393666406202446,44,True,0
332,-0.41234361371974915,-0.3687570761614852,0.9420108232650267,0.9751121076230996,0.30393666406202446,44,True,0
498,-0.41234361371974915,-0.3684740530295316,0.4099088514586851,0.9751121076230996,0.30393666406202446,44,True,0
664,-0.41234361371974915,-0.37630082858662506,0.35673744367777005,0.9751121076230996,0.30393666406202446,44,True,1
830,-0.41234361371974915,-0.3545718897825131,0.15523158778943422,0.9751121076230996,0.30393666406202446,44,True,1
996,-0.41234361371974915,-0.3645391245280353,0.06754784583082554,0.9751121076230996,0.30393666406202446,44,True,1
1162,-0.41234361371974915,-0.37030060440687573,0.05878586364231638,0.9751121076230996,0.30393666406202446,44,True,2
1328,-0.41234361371974915,-0.36975505149827387,0.025580221853618093,0.9751121076230996,0.30393666406202446,44,True,2
1494,-0.41234361371974915,-0.37438136558330815,0.011131039156993781,0.9751121076230996,0.30393666406202446,44,True,2
1660,-0.41234361371974915,-0.35944123855514826,0.00968717421010203,0.9751121076230996,0.30393666406202446,44,True,3
1826,-0.41234361371974915,-0.37103402692596305,0.004215300245256261,0.9751121076230996,0.30393666406202446,44,True,3
1992,-0.41234361371974915,-0.39587139641736,0.0018342558699035055,0.9751121076230996,0.30393666406202446,44,True,3
2158,-0.4151390571146981,-0.40887746155685445,0.001596325006771101,0.9939461883405842,0.3263087741874928,52,True,4
2324,-0.45537222252622517,-0.45537222252622517,0.0006946286963161838,0.9832959641253399,0.2409760843252589,40,True,4
2490,-0.49535372544373696,-0.49535372544373696,0.00030226239875919485,0.9893497757845314,0.1766826002358717,30,True,4
2656,-0.5048063038860507,-0.5048063038860507,0.000131527185945793,0.9767937219728751,0.15328400055148791,25,True,4
2822,-0.5136779281929528,-0.5136779281929528,0.0001,0.9729820627800508,0.13905486356875985,22,True,4
2988,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,4
3154,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,4
3320,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,4
3486,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,5
3652,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,5
3818,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,5
3984,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,6
4150,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,6
4316,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,6
4482,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,7
4648,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,7
4814,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,7
4980,-0.5139201768908408,-0.5139201768908408,0.00010064496607956846,0.9772421524661485,0.14284291645595176,23,True,8
5146,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,8
5312,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,8
5478,-0.5139201768908408,-0.5138337288411836,0.00010165901475171684,0.9772421524661485,0.14284291645595176,23,True,9
5644,-0.5139201768908408,-0.5138337288411836,0.0001,0.9772421524661485,0.14284291645595176,23,True,9
5810,-0.5139201768908408,-0.5139201768908408,0.0001,0.9772421524661485,0.14284291645595176,23,True,9
5976,-0.5139201768908408,-0.5138337288411836,0.00010268328047444947,0.9772421524661485,0.14284291645595176,23,True,10
